dataset_id,original,paraphrased,sentiment
4,"Wendigo wants to be a monster movie for the art-house crowd, but it falls into the trap of pretention almost every time.","Wendigo aspires to be an arthouse horror film, but it repeatedly succumbs to pretentiousness.",negative
1,lv&amp;tt out in an hour  hehe so buying l8ter morning when i go to the mall ,Louis Vuitton and Tiffany dropping in an hour hehe so I'm purchasing later in the morning when I head to the mall,positive
1,@SmashMe_EraseMe http://twitpic.com/6qg68 - VERY FUCKING COOL!  I can't wait for the rest!,@SmashMe_EraseMe http://twitpic.com/6qg68 - INCREDIBLY AWESOME! I'm so excited for what's coming next!,positive
4,"In the disturbingly involving family dysfunctional drama How I Killed My Father, French director Anne Fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition","In the compellingly unsettling domestic dysfunction drama How I Killed My Father, French filmmaker Anne Fontaine presents a brilliant depiction of masculine-driven anxiety and the emotional repression that comes with this state of being.",positive
1,It's going to be like the Christmas Caitlin &amp; I stayed up until 2am baking cookies that nobody ate. ,"It'll be just like that Christmas when Caitlin and I were up baking cookies until 2am, only for them to go uneaten.",negative
1,"I've got the best Love, Sex and Magic baby ","I have the most amazing Love, Sex and Magic, baby",positive
4,There's no disguising this as one of the worst films of the summer.,This is undeniably among the summer's most terrible movies.,negative
1,Photobucket hates me and won't let me upload any of these hot ass pics ,Photobucket is being uncooperative and refusing to let me upload any of these amazing photos,negative
1,I wish I could go to the Grove and see @mitchelmusso ,I really want to visit the Grove and watch @mitchelmusso,negative
1,"@TheLadyJane I love my Marcus  You'll get him soon, don't worry.","@TheLadyJane I adore my Marcus. You'll have him before long, no need to fret.",positive
1,@emi_the_twit Cool!  Now go back to DM.  I'm having fun with you there ,@emi_the_twit Awesome! Head back to DMs - I'm enjoying our conversation there,positive
1,@mikevegasbaby i love the maine ,@mikevegasbaby I adore the Maine,positive
1,Another Intolerance Discovered  http://tinyurl.com/obxtdj,New Intolerance Uncovered http://tinyurl.com/obxtdj,negative
1,"I know it's stating the feckin obvious, but I HATE HANGOVERS ","I realize it's pointing out the damn obvious, but I DESPISE HANGOVERS",negative
1,"Likening wk to a particular russian concentration camp when the ops mgr is in the next cubicle, probably wasn't one of my better moves. ",Comparing work to a specific Russian labor camp while the operations manager was sitting in the adjacent cubicle was probably not one of my wiser decisions.,negative
1,@and1grad I was wondering... ,@and1grad I've been curious...,positive
