dataset_id,original,paraphrased,sentiment,original_clean,paraphrased_clean,semantic_distance
4,"Wendigo wants to be a monster movie for the art-house crowd, but it falls into the trap of pretention almost every time.","Wendigo aspires to be an arthouse horror film, but it repeatedly succumbs to pretentiousness.",negative,"Wendigo wants to be a monster movie for the art-house crowd, but it falls into the trap of pretention almost every time.","Wendigo aspires to be an arthouse horror film, but it repeatedly succumbs to pretentiousness.",0.21362966
1,lv&amp;tt out in an hour  hehe so buying l8ter morning when i go to the mall ,Louis Vuitton and Tiffany dropping in an hour hehe so I'm purchasing later in the morning when I head to the mall,positive,lv&tt out in an hour  hehe so buying l8ter morning when i go to the mall,Louis Vuitton and Tiffany dropping in an hour hehe so I'm purchasing later in the morning when I head to the mall,0.3987546
1,@SmashMe_EraseMe http://twitpic.com/6qg68 - VERY FUCKING COOL!  I can't wait for the rest!,@SmashMe_EraseMe http://twitpic.com/6qg68 - INCREDIBLY AWESOME! I'm so excited for what's coming next!,positive,@SmashMe_EraseMe http://twitpic.com/6qg68 - VERY FUCKING COOL!  I can't wait for the rest!,@SmashMe_EraseMe http://twitpic.com/6qg68 - INCREDIBLY AWESOME! I'm so excited for what's coming next!,0.090748906
4,"In the disturbingly involving family dysfunctional drama How I Killed My Father, French director Anne Fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition","In the compellingly unsettling domestic dysfunction drama How I Killed My Father, French filmmaker Anne Fontaine presents a brilliant depiction of masculine-driven anxiety and the emotional repression that comes with this state of being.",positive,"In the disturbingly involving family dysfunctional drama How I Killed My Father, French director Anne Fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition","In the compellingly unsettling domestic dysfunction drama How I Killed My Father, French filmmaker Anne Fontaine presents a brilliant depiction of masculine-driven anxiety and the emotional repression that comes with this state of being.",0.13657373
1,It's going to be like the Christmas Caitlin &amp; I stayed up until 2am baking cookies that nobody ate. ,"It'll be just like that Christmas when Caitlin and I were up baking cookies until 2am, only for them to go uneaten.",negative,It's going to be like the Christmas Caitlin & I stayed up until 2am baking cookies that nobody ate.,"It'll be just like that Christmas when Caitlin and I were up baking cookies until 2am, only for them to go uneaten.",0.106942356
1,"I've got the best Love, Sex and Magic baby ","I have the most amazing Love, Sex and Magic, baby",positive,"I've got the best Love, Sex and Magic baby","I have the most amazing Love, Sex and Magic, baby",0.119360566
4,There's no disguising this as one of the worst films of the summer.,This is undeniably among the summer's most terrible movies.,negative,There's no disguising this as one of the worst films of the summer.,This is undeniably among the summer's most terrible movies.,0.24453843
1,Photobucket hates me and won't let me upload any of these hot ass pics ,Photobucket is being uncooperative and refusing to let me upload any of these amazing photos,negative,Photobucket hates me and won't let me upload any of these hot ass pics,Photobucket is being uncooperative and refusing to let me upload any of these amazing photos,0.1394381
1,I wish I could go to the Grove and see @mitchelmusso ,I really want to visit the Grove and watch @mitchelmusso,negative,I wish I could go to the Grove and see @mitchelmusso,I really want to visit the Grove and watch @mitchelmusso,0.10675496
1,"@TheLadyJane I love my Marcus  You'll get him soon, don't worry.","@TheLadyJane I adore my Marcus. You'll have him before long, no need to fret.",positive,"@TheLadyJane I love my Marcus  You'll get him soon, don't worry.","@TheLadyJane I adore my Marcus. You'll have him before long, no need to fret.",0.17987514
1,@emi_the_twit Cool!  Now go back to DM.  I'm having fun with you there ,@emi_the_twit Awesome! Head back to DMs - I'm enjoying our conversation there,positive,@emi_the_twit Cool!  Now go back to DM.  I'm having fun with you there,@emi_the_twit Awesome! Head back to DMs - I'm enjoying our conversation there,0.14403045
1,@mikevegasbaby i love the maine ,@mikevegasbaby I adore the Maine,positive,@mikevegasbaby i love the maine,@mikevegasbaby I adore the Maine,0.025621295
1,Another Intolerance Discovered  http://tinyurl.com/obxtdj,New Intolerance Uncovered http://tinyurl.com/obxtdj,negative,Another Intolerance Discovered  http://tinyurl.com/obxtdj,New Intolerance Uncovered http://tinyurl.com/obxtdj,0.077058256
1,"I know it's stating the feckin obvious, but I HATE HANGOVERS ","I realize it's pointing out the damn obvious, but I DESPISE HANGOVERS",negative,"I know it's stating the feckin obvious, but I HATE HANGOVERS","I realize it's pointing out the damn obvious, but I DESPISE HANGOVERS",0.16138285
1,"Likening wk to a particular russian concentration camp when the ops mgr is in the next cubicle, probably wasn't one of my better moves. ",Comparing work to a specific Russian labor camp while the operations manager was sitting in the adjacent cubicle was probably not one of my wiser decisions.,negative,"Likening wk to a particular russian concentration camp when the ops mgr is in the next cubicle, probably wasn't one of my better moves.",Comparing work to a specific Russian labor camp while the operations manager was sitting in the adjacent cubicle was probably not one of my wiser decisions.,0.46272188
1,@and1grad I was wondering... ,@and1grad I've been curious...,positive,@and1grad I was wondering...,@and1grad I've been curious...,0.045282125
1,"Happy Birthday to my Grandpa.  He has 3 cats, but I still love him. ","Happy Birthday to my Grandfather. Despite having 3 cats, I still adore him.",positive,"Happy Birthday to my Grandpa.  He has 3 cats, but I still love him.","Happy Birthday to my Grandfather. Despite having 3 cats, I still adore him.",0.048102975
1,@Mikemo327  everyone is going to be there wowzersss ,"@Mikemo327 everyone's showing up, that's incredible!",negative,@Mikemo327  everyone is going to be there wowzersss,"@Mikemo327 everyone's showing up, that's incredible!",0.2625302
1,you're only the best I've ever had.  â« http://blip.fm/~7fbku,you're simply the greatest I've ever experienced. ♫ http://blip.fm/~7fbku,positive,you're only the best I've ever had.  ♫ http://blip.fm/~7fbku,you're simply the greatest I've ever experienced. ♫ http://blip.fm/~7fbku,0.127285
1,"@xCraziiChiicax Hahaha, MEEEE 2.  Ugh, today is not a good day  I forgot my paints at home!  Oh no!","@xCraziiChiicax Hahaha, SAME HERE. Ugh, this day is terrible - I left my paints at the house! Oh no!",negative,"@xCraziiChiicax Hahaha, MEEEE 2.  Ugh, today is not a good day  I forgot my paints at home!  Oh no!","@xCraziiChiicax Hahaha, SAME HERE. Ugh, this day is terrible - I left my paints at the house! Oh no!",0.108756065
4,"A solid, psychological action film from Hong Kong.",A well-crafted psychological thriller with action elements from Hong Kong.,positive,"A solid, psychological action film from Hong Kong.",A well-crafted psychological thriller with action elements from Hong Kong.,0.1307885
1,is on her last box of bearbrand  our supply from the last time we went home lasted a year and a half so not bad.,"She's down to her final box of Bearbrand - the stock we brought back from our last trip home managed to last us a year and a half, which is pretty good.",negative,is on her last box of bearbrand  our supply from the last time we went home lasted a year and a half so not bad.,"She's down to her final box of Bearbrand - the stock we brought back from our last trip home managed to last us a year and a half, which is pretty good.",0.20341504
1,@gfalcone601 ohhh ok. thats upsetting  sorry for wasting your time. xx,@gfalcone601 oh I see. that's disappointing. sorry for taking up your time. xx,negative,@gfalcone601 ohhh ok. thats upsetting  sorry for wasting your time. xx,@gfalcone601 oh I see. that's disappointing. sorry for taking up your time. xx,0.14068097
1,part of me really believed that weebay would be here when i got home ,Part of me truly thought Weebay would be waiting when I returned home,negative,part of me really believed that weebay would be here when i got home,Part of me truly thought Weebay would be waiting when I returned home,0.12177485
1,@AimeeNewell not long to go now before we can get outta here  x,@AimeeNewell we'll be able to leave this place soon x,positive,@AimeeNewell not long to go now before we can get outta here  x,@AimeeNewell we'll be able to leave this place soon x,0.1305939
1,@taraplatt thank you ,@taraplatt thanks so much,positive,@taraplatt thank you,@taraplatt thanks so much,0.03205216
1,"@ChazElite nah, i really can't afford it to be perfectly honest. it would've been fun tho  i'll just have to watch it on TV!","@ChazElite honestly, I just don't have the money for it right now. would've been great though - guess I'll catch it on TV instead!",negative,"@ChazElite nah, i really can't afford it to be perfectly honest. it would've been fun tho  i'll just have to watch it on TV!","@ChazElite honestly, I just don't have the money for it right now. would've been great though - guess I'll catch it on TV instead!",0.21479166
1,Only my friend Katie would pee on a stick in a bar bathroom...negative pregnancy test = pure joy.  http://twitpic.com/6i3a5,Only Katie would take a pregnancy test in a bar restroom...negative result = complete relief. http://twitpic.com/6i3a5,positive,Only my friend Katie would pee on a stick in a bar bathroom...negative pregnancy test = pure joy.  http://twitpic.com/6i3a5,Only Katie would take a pregnancy test in a bar restroom...negative result = complete relief. http://twitpic.com/6i3a5,0.16743696
1,Watching the Twins handle the Mariners again!! Whoo-hoo!!!  Tony http://www.trustyfotografie.com,The Twins are dominating the Mariners once more!! Yes!!!  Tony http://www.trustyfotografie.com,positive,Watching the Twins handle the Mariners again!! Whoo-hoo!!!  Tony http://www.trustyfotografie.com,The Twins are dominating the Mariners once more!! Yes!!!  Tony http://www.trustyfotografie.com,0.1969676
1,I am in TOTAL shock!!!!!!!!!!!!! How on earth could Jad get a buzz cut?????????!!!!!!!!!!!!!!!!!!!!!!!   ewwwwwwwwww!,I'm absolutely stunned! I can't believe Jad actually got a buzz cut! That's so gross!,negative,I am in TOTAL shock!!!!!!!!!!!!! How on earth could Jad get a buzz cut?????????!!!!!!!!!!!!!!!!!!!!!!!   ewwwwwwwwww!,I'm absolutely stunned! I can't believe Jad actually got a buzz cut! That's so gross!,0.20771986
1,wants to hit the beach and embraces the summer vibe ,loves going to the beach and fully enjoys the summer atmosphere,negative,wants to hit the beach and embraces the summer vibe,loves going to the beach and fully enjoys the summer atmosphere,0.2298373
1,@mitchelmusso i wish i was  it sounds like so much fun! you're awesome! :],@mitchelmusso I wish I could be there - it seems like such a blast! You're amazing! :],negative,@mitchelmusso i wish i was  it sounds like so much fun! you're awesome! :],@mitchelmusso I wish I could be there - it seems like such a blast! You're amazing! :],0.14293075
